小图代码,大图代码,顺序,名称,版本,地点,X,Y,天气,天气图片,时间,动作,动作代码,动作图片,备注,位置图片1,位置图片2
081602.tex,081102.tex,15,黄金广场,新生篇,乌尔达哈来生回廊,11,11,阴云,060203.tex,12:00～16:59,张望,/lookout,064022.tex,黄金广场在乌尔达哈的中心部，广场中间配有喷水池，广大市民都可以在这里乘凉歇息。虽然黄金广场曾是王族舞会专用的场所，可是近年来国家经济困难难以维护，所以广场的管理权也就移交给了普通市民。,12015,22015
081603.tex,081103.tex,16,贸易城邦乌尔达哈,新生篇,西萨纳兰,22,22,晴朗,060202.tex,18:00～4:59,张望,/lookout,064022.tex,屹立在荒凉沙漠萨纳兰的贸易城邦。高大的城墙内，无数圆形屋顶的建筑物坐落其中。这个光景曾治愈过无数旅途劳累的旅行者。城市因贸易的缘故非常富裕，因此享有“荒野的宝石”这一美名。,12016,22016
081606.tex,081106.tex,17,希拉狄哈遗迹,新生篇,中萨纳兰,15,22,薄雾,060204.tex,8:00～11:59,张望,/lookout,064022.tex,古都希拉狄哈的遗迹。约400年前，这座城市因败北于乌尔达哈而灭亡，时过百年，已被埋入沙中。乌尔达哈迁都之后，与埋在沙中的希拉狄哈有一部分重叠。,12017,22017
081609.tex,081109.tex,18,古菩猩猩的遗骸,新生篇,东萨纳兰,19,24,小雨,060207.tex,17:00～17:59,安慰,/comfort,064009.tex,被有很多罕见花草所簇拥的古菩猩猩遗骸。在灵灾之时，陷入恐慌的古菩猩猩从库尔札斯山上跑了下来，在穿过黑衣森林的时候，粘上了很多奇花异草的种子，然后在这里筋疲力竭。,12018,22018
081610.tex,081110.tex,19,消逝王都,新生篇,东萨纳兰,14,18,阴云,060203.tex,8:00～11:59,张望,/lookout,064022.tex,火墙周边的地面因为卫月碎片的坠落而产生了巨大的裂痕。在裂痕之下显露出的是壮丽的遗迹。经研究表明，这里很可能是贝拉哈迪亚后期塔塔梅夫一世的墓地。,12019,22019
081611.tex,081111.tex,20,跨天桥,新生篇,东萨纳兰,21,20,晴朗,060202.tex,5:00～7:59,祈祷,/pray,064064.tex,跨天桥是萨纳兰与黑衣森林相互往来用的石桥。作为格里达尼亚重要的贸易道路，由铜刃团兰花联队旗下的防御部队驻守。另外，这里对调查消逝王都的学者们来说也是重要的地点。,12020,22020
081506.tex,081006.tex,21,轻声谷,新生篇,中拉诺西亚,20,13,晴朗,060202.tex,12:00～16:59,张望,/lookout,064022.tex,在源自奥·哥摩罗的尼姆河常年的侵蚀下形成的溪谷。无数细小的瀑布与潺潺流水共同演奏出清澈的交响乐。由于溪谷遮蔽了阳光，所以这里成为了酒宴避暑的好地方，也因此受当地人喜爱。,12021,22021
081507.tex,081007.tex,22,盛夏农庄,新生篇,中拉诺西亚,25,17,碧空,060201.tex,5:00～7:59,张望,/lookout,064022.tex,依照梅尔维布提督推行的迁入政策而开发的村落。目前由一些金盆洗手的海盗和资深农夫协力开拓。依靠无赖川丰富的水资源恩惠，使得拉诺西亚香橙的栽培取得了很大成功。,12022,22022
081510.tex,081010.tex,23,灰舰风车群,新生篇,拉诺西亚低地,31,12,小雨,060207.tex,12:00～16:59?,张望,/lookout,064022.tex,这里的风车主要用来研磨赤血雄鸡农场的小麦和对羊毛进行缩绒。风车的扇叶都是利用的帆布，远远看去给人一种舰队的感觉。,12023,22023
081511.tex,081011.tex,24,隐秘瀑布,新生篇,东拉诺西亚,32,23,碧空,060201.tex,8:00～11:59,坐下,/sit,064054.tex,由永恒川的流水形成的瀑布。富豪格格鲁玖在瀑布潭所在的海岸准备了住宿设施，用来接待贵宾。或许还有专属的舞女进行的特别招待。,12024,22024
081512.tex,081012.tex,25,白鸥塔,新生篇,东拉诺西亚,29,33,小雨,060207.tex,18:00～4:59,张望,/lookout,064022.tex,由拉诺西亚特有的白色火山岩建成的小塔。既能够作为灯塔，提示靠近的船只已航行到深度较浅的海域；同时也能够作为监视塔，监视着鱼人族以及海盗的动向。塔的周围栖息着大量白色海鸥，白鸥塔因此得名。,12025,22025
081514.tex,081014.tex,26,小麦酒港的利姆莱茵像,新生篇,西拉诺西亚,26,26,碧空,060201.tex,17:00～17:59,祈祷,/pray,064064.tex,对于长期航海的船只来说，小麦酒港是补充必要物资的重要海港。在其中心部，竖立着航海女神利姆莱茵的雕像。这座由鲁加族著名雕刻家雕刻而成的美丽女神像，至今仍在守护着出行的航船。,12026,22026
081515.tex,081015.tex,27,船舶墓场,新生篇,西拉诺西亚,17,36,强风,060206.tex,18:00～4:59,张望,/lookout,064022.tex,在海上遇难的船只随着洋流漂到了这里，久而久之便成为了遇难船沉眠的墓场。根据当地人的传言，很多船都是受到传说中的魔物“塞壬”的魅惑而遇难的。,12027,22027
081516.tex,081016.tex,28,骷髅谷营地,新生篇,西拉诺西亚,22,22,晴朗,060202.tex,8:00～11:59,张望,/lookout,064022.tex,黑涡团的军事据点。起初为了警告南下的地灵族，曾将地灵族头骨排列在山谷间，因而命名骷髅谷。如今，骷髅谷营地则是作为防御二分石地一带的鱼人族的重要据点，发挥着无可替代的作用。,12028,22028
081517.tex,081017.tex,29,南北防波堤,新生篇,西拉诺西亚,19,23,碧空,060201.tex,12:00～16:59,张望,/lookout,064022.tex,黑涡团的防御壁。建造在被鱼人族占领的二分石地与骷髅谷的边界间。因为鱼人族的攻势经常被比做“海浪”，所以这座高大的墙壁也就得到了防波堤的名字。现在的防波堤仍然在坚守其职责，抵挡着鱼人族一波又一波的猛攻。,12029,22029
081518.tex,081018.tex,30,石绿湖营地,新生篇,拉诺西亚高地,30,22,晴朗,060202.tex,17:00～17:59,张望,/lookout,064022.tex,受到灵灾的影响，石绿湖水位大幅下降，原本潜藏在湖底的古代尼姆遗迹也得以重见天日。人们见有温水涌出，于是将这里建设成了面向伤兵的温泉疗养地。同时也建起了面向一般人的温酒疗养院。,12030,daibu
081519.tex,081019.tex,31,撒拉奥斯的遗骸,新生篇,拉诺西亚高地,13,21,碧空,060201.tex,12:00～16:59,张望,/lookout,064022.tex,露出地表的巨大古代生物化石。与曾经女神利姆莱茵解放的海蛇撒拉奥斯有渊源，所以被称作撒拉奥斯的遗骸。另外，在这附近发现的海洋生物化石，也揭示了这座岛屿曾经处于海底深处。,12031,22031
081520.tex,081020.tex,32,吉吉卢恩交易站,新生篇,拉诺西亚高地,29,25,雷雨,060210.tex,18:00～4:59,张望,/lookout,064022.tex,卢恩族的商人吉吉卢恩经营的交易站。与他的兄弟梅梅卢恩经营的交易站是竞争关系。至于为什么要在人烟稀少的地方开店，那就不得而知了。,12032,22032
081521.tex,081021.tex,33,尼姆浮游遗迹,新生篇,拉诺西亚外地,12,15,晴朗,060202.tex,18:00～4:59,张望,/lookout,064022.tex,古代尼姆城邦的遗迹。在第五星历时代，尼姆文明曾在威尔布兰德岛繁荣一时。由于地脉的以太偏属性水晶化，导致风属性的力量强化，使得一部分遗迹漂浮起来。这个景观可以说是如梦似幻。,12033,22033
081522.tex,081022.tex,34,瞭望阵营地,新生篇,拉诺西亚外地,17,16,阴云,060203.tex,5:00～7:59,张望,/lookout,064022.tex,在拉诺西亚外地设立的黑涡团营地。由海盗兵组成的“红燕陆战队”镇守于此，在高台上时刻监视着地灵族的动向。同时，从这里向南望去，尼姆时代的“放浪神古神殿”遗迹风光也尽收眼底。,12034,22034
081523.tex,081023.tex,35,武伽玛罗武装矿山,新生篇,拉诺西亚外地?,23,11,碧空,060201.tex,12:00～16:59,张望,/lookout,064022.tex,地灵族开拓的武装矿山。周边有丰富的硫磺资源，渗出的地下水和工业废水相互交融，形成了独特的光景。凭借人口剧增带来的劳动力增加，使得扩张作业稳步进行。,12035,22035
081524.tex,081024.tex,36,隐者庵,新生篇,拉诺西亚外地,15,10,小雨,060207.tex,18:00～4:59,坐下,/sit,064054.tex,遥望着北方奥·哥摩罗山的山间小屋。由于火山地带温泉丰富，主人在房屋边上还做出了一个天然的温泉浴池。不过小屋的主人几乎很少在家，可能是个喜欢在外面漂泊的人吧。,12036,22036
081551.tex,081051.tex,37,魔女咖啡馆和大水车,新生篇,格里达尼亚新街,14,14,晴朗,060202.tex,8:00～11:59,张望,/lookout,064022.tex,魔女咖啡馆的名字据说是得自一种叫做魔女草的植物。在这家咖啡馆的旁边就是全艾欧泽亚最大的木造水车——“斐加加大水车”。这座水车向刻木匠行会的工房输送动力，回转起来会发出很有韵律的声音。,12037,22037
081554.tex,081054.tex,38,枪术师行会,新生篇,格里达尼亚旧街,14,5,小雨,060207.tex,5:00～7:59,张望,/lookout,064022.tex,枪术师行会是由著名枪术师米斯塔尔所创设。维持格里达尼亚治安的鬼哭队现在也驻扎在这里，在道场里可以看到鬼哭队士兵和枪术师行会的成员们一起努力练习的场景。,12038,22038
081556.tex,081056.tex,39,烤饼练兵所,新生篇,黑衣森林中央林区,23,19,小雨,060207.tex,5:00～7:59,张望,/lookout,064022.tex,双蛇党为训练新兵而设立的练兵所。这里的训练场设立在黑衣森林独有的巨大树木“天柱树”的树桩上。树桩的切面很像是扁平的圆形烤饼，练兵所也因此得到了这个奇妙的名字。,12039,22039
081557.tex,081057.tex,40,静语庄园,新生篇,黑衣森林中央林区,13,23,碧空,060201.tex,18:00～4:59,张望,/lookout,064022.tex,原本是幻术皇的御用宅邸。二代以前的幻术皇认为这里过于奢华而决定搬出，之后这里就被交给了名门达尔坦库尔家。静语庄园中“静语”一词指的是人类和元灵之间那种不用语言的交流方式。,12040,22040
081558.tex,081058.tex,41,长老树,新生篇,黑衣森林中央林区,16,22,晴朗,060202.tex,12:00～16:59,张望,/lookout,064022.tex,黑衣森林中最为年长的古树。据格里达尼亚的法师们介绍，森林大元灵就是栖息在这棵大树之中。由于树龄已经超过了一千年，所以人们对这棵树的果实也十分重视，将其命名为“千年果实”。,12041,22041
081559.tex,081059.tex,42,虹桥瀑布,新生篇,黑衣森林中央林区,26,18,碧空,060201.tex,11:00～13:59,张望,/lookout,064022.tex,流淌在黑衣森林中的东叶脉水流形成的瀑布。在阳光的照射下会映现出美丽的彩虹，于是当地人便亲切地给了这个瀑布一个“虹桥”的爱称。穿过瀑布的洞窟可以到达“再生的残桩”。,12042,22042
081562.tex,081062.tex,43,摇篮树,新生篇,黑衣森林东部林区,21,10,打雷,060209.tex,18:00～4:59,张望,/lookout,064022.tex,妖精的种子需要在被称作“摇篮”的茧里进行成长，而能够孕育出“摇篮”的则只有这棵大树。没有这棵树，妖精族就无法繁衍，这棵树的重要性由此可见一斑。周围生长的月芽可以发出淡淡的如同月光一般的光，仿佛是在守护着这棵大树。,12043,22043
081563.tex,081063.tex,44,巴斯卡隆酒家,新生篇,黑衣森林南部林区,17,20,雷雨,060210.tex,8:00～11:59,张望,/lookout,064022.tex,曾经当过哨兵的巴斯卡隆经营的酒馆。因为巴斯卡隆胸怀宽大，不论是冒险者还是驻扎在附近的不法之徒，都能在这里相安无事地对饮。这家酒馆已经成为了某种意义上的避风塘，在这里没有纷争。,12044,22044
081564.tex,081064.tex,45,森南飞艇坪,新生篇,黑衣森林南部林区,14,33,碧空,060201.tex,8:00～11:59,张望,/lookout,064022.tex,高风飞行社建设的货运飞艇坪。不过在帝国军入侵后，由于空中的安全问题无法得到保障，这里便被关闭了。现在已经成为了当地的偷猎者们交易货品的黑市所在地。,12045,22045
081565.tex,081065.tex,46,兀尔德恩惠地,新生篇,黑衣森林南部林区,33,23,薄雾,060204.tex,12:00～16:59?,张望,/lookout,064022.tex,蕴含着丰富以太的清澈泉眼。据圣典中记载，圣女兀尔德被恶神奥丁斩杀于此，此处因此被称为“兀尔德恩惠地”，但这个传说的真实性无从考证。,12046,22046
081566.tex,081066.tex,47,石场水车,新生篇,黑衣森林南部林区,25,21,晴朗,060202.tex,5:00～7:59,张望,/lookout,064022.tex,南部林区中的辅城，在当初建设森之都格里达尼亚时，这里曾经是加工石材的水车场。现如今已经不再经营这项行业，变为了森林猎人们所聚集的场所。,12047,22047
081567.tex,081067.tex,48,鸟人军采伐所,新生篇,黑衣森林北部林区,18,19,晴朗,060202.tex,12:00～16:59,张望,/lookout,064022.tex,侵入黑衣森林的鸟人族采伐部队砍伐树木的场所。鸟人族从他们在塞尔法特尔溪谷的根据地派出装甲气球，经由库尔札斯的风扬殖民地前来此地搬运木材。,12048,22048
081568.tex,081068.tex,49,陨石背阴地,新生篇,黑衣森林北部林区,15,32,碧空,060201.tex,18:00～4:59,张望,/lookout,064022.tex,在第七灵灾之时，卫月中封印古代蛮神的拘束具掉落在了这里。这些巨大的圆环能够抑制蛮神的力量，将那黑色的蛮神封印了诸多个世纪。可是现在，我们只能看到破损后的遗骸了。,12049,22049
081569.tex,081069.tex,50,桤木泉,新生篇,黑衣森林北部林区,15,27,阴云,060203.tex,8:00～11:59,张望,/lookout,064022.tex,这里过去是一片与“桤木泉”这个名字相符的、生长有无数桤木的繁茂森林，但第七灵灾让这里发生了巨大的变化。卫月的碎片坠落在这里，巨大的冲击给大地造成的创伤至今仍未恢复。,12050,22050
081604.tex,081104.tex,51,帝国海上基地,新生篇,西萨纳兰,8,5,碧空,060201.tex,17:00～17:59,张望,/lookout,064022.tex,建造在罗塔诺海上的帝国海上基地，是加雷马帝国的物资中转基地，用于进行海上补给。由帝国第十四军团的第十步兵大队驻守。,12051,22051
081605.tex,081105.tex,52,黄昏湾的罗罗力特像,新生篇,西萨纳兰,12,14,晴朗,060202.tex,12:00～16:59,指向,/point,064027.tex,黄昏湾是乌尔达哈的海上关口。中央广场的铜像，是按照阿尔迪纳德商会的罗罗力特会长的形象建造的。虽然罗罗力特对港口投入了大量资金进行建设这点很让人称道，不过还是有些人认为这座雕像的容貌有些过度美化了。,12052,22052
081607.tex,081107.tex,53,黑尘驿站,新生篇,中萨纳兰,21,17,扬沙,060211.tex,18:00～4:59,张望,/lookout,064022.tex,原本是铜刃团的驻地，因艾玛吉娜矿山公司建设铁道的关系，在这里增设了驿站的功能。为了炼制采掘出来的矿石，这里设置了最新的高热炉，为乌尔达哈经济建设作出了巨大的贡献。,12053,22053
081608.tex,081108.tex,54,纳尔之门,新生篇,中萨纳兰,18,26,碧空,060201.tex,12:00～16:59,坐下,/sit,064054.tex,乌尔达哈的主门之一。得名自掌管生者世界的纳尔神。由于乌尔达哈是一座贸易城邦，所以主门建设得特别宽大，能够允许两辆载满商品的陆行鸟篷车并行通过。,12054,22054
081612.tex,081112.tex,55,火墙,新生篇,东萨纳兰,30,26,碧空,060201.tex,12:00～16:59,张望,/lookout,064022.tex,卫月坠落时的碎片贯穿了大地，使得地脉中的以太大量流出。这些以太结晶化，形成火炎形状的偏属性水晶。这可以说是第七灵灾带来的壮烈景观之一。,12055,22055
081613.tex,081113.tex,56,黄金集市,新生篇,东萨纳兰,10,16,晴朗,060202.tex,8:00～11:59,张望,/lookout,064022.tex,乌尔达哈的辅城。曾经作为贸易中转地非常热闹，后因与东方贸易的中断，导致这里变得非常冷清。传闻周边一带有着品质优良的秘银矿床，人们也很期待通过矿业能够振兴这里。,12056,22056
081614.tex,081114.tex,57,札尔神祠,新生篇,东萨纳兰,25,14,暴雨,060208.tex,18:00～4:59,祈祷,/pray,064064.tex,供奉双子神中的札尔神的神祠。札尔掌管着死后的世界，向其上供可以保佑来生的财富。为了进行节食祈祷，这里还设有纳尔札尔教团祈祷时用的设施。过去曾有很多前来巡礼参拜的人，可是近些年来人数下降了不少。,12057,22057
081615.tex,081115.tex,58,纳尔神祠,新生篇,南萨纳兰,12,22,薄雾,060204.tex,5:00～7:59,祈祷,/pray,064064.tex,供奉双子神中的纳尔神的神祠。由于纳尔所掌管的是现世的利益，所以人们都认为诚心参拜后会有好事发生在自己身上。可是富裕阶层的人仅仅靠购买密尔瓦内斯礼拜堂贩卖的护身符即可满足，所以几乎没有人来参拜神祠。,12058,22058
081616.tex,081116.tex,59,不悔战阵,新生篇,南萨纳兰,19,20,晴朗,060202.tex,5:00～7:59,张望,/lookout,064022.tex,蜥蜴人军的战阵。名字中的“不悔”表明了蜥蜴人战士永不退却的精神。他们把蛮神伊弗利特焚烧过的南萨纳兰赞拉克地区当做圣地。在历史上，蜥蜴人族和乌尔达哈也有过很多冲突。,12059,22059
081617.tex,081117.tex,60,工艺神击,新生篇,南萨纳兰,21,38,热浪,060214.tex,12:00～16:59,张望,/lookout,064022.tex,艾玛吉娜矿山公司为了从沙漠之中挖掘出古亚拉戈时代遗迹而设置的大型挖掘机。原本是希望这台机器能够像工艺神的大锤一样打出无比强悍的一击，可惜由于耐热性不是很好，总是会出现这样那样的问题。,12060,22060
081618.tex,081118.tex,61,喀恩埋没圣堂,新生篇,南萨纳兰,23,11,晴朗,060202.tex,12:00～16:59,张望,/lookout,064022.tex,古代贝拉哈迪亚城邦时代的遗迹。这里曾是贝拉哈迪亚祭拜太阳女神阿泽玛的神殿，历代国王为了展示自己的权利，曾多次改造神殿。,12061,22061
081619.tex,081119.tex,62,牛魔里程,新生篇,南萨纳兰,14,26,热浪,060214.tex,5:00～7:59,激励,/psych,064030.tex,为了对抗东阿尔迪纳德商会的庞大资本，中小规模的旅行商人们组成了一个名为“商队互助会”的组织，这里便是组织交易所之一。此处交易所建立在第七灵灾之后，是为了与危险的撒沟厉沙漠方面进行贸易而专门建立的。,12062,22062
081620.tex,081120.tex,63,东侧监视塔,新生篇,北萨纳兰,21,24,碧空,060201.tex,5:00～7:59,敬礼,/salute,064031.tex,用于监视帝国南方堡的监视塔。帝国南方堡由加雷马帝国第十四军团建造，是确保魔导兵器燃料资源供应的采掘据点。恒辉队驻守此监视塔，不分日夜地监视着采掘据点的状况。,12063,22063
081621.tex,081121.tex,64,青磷水输送管,新生篇,北萨纳兰,20,29,晴朗,060202.tex,18:00～4:59,张望,/lookout,064022.tex,向精炼所输送青磷水的管道。现在在艾欧泽亚需要利用青磷水的装置越来越多，从飞空艇到各种机械，燃料的需求量明显增大。为此艾玛吉娜矿山公司也花费了巨资来增加设备。,12064,22064
081622.tex,081122.tex,65,蓝雾,新生篇,北萨纳兰,20,22,晴朗,060202.tex,12:00～16:59,张望,/lookout,064022.tex,北萨纳兰的溪谷地带是在艾欧泽亚数一数二的青磷水储存地。在获取青磷水的时候产生的气体，使得周边被蓝雾笼罩，也因此成为了此地的景点。,12065,22065
081623.tex,081123.tex,66,劳班缓冲地,新生篇,北萨纳兰,19,17,阴云,060203.tex,8:00～11:59,张望,/lookout,064022.tex,趁着第七灵灾混乱之际，帝国军向北萨纳兰发起了进攻，然而恒辉队的劳班局长却在战力处于劣势的状况下依旧奋战到底，终于成功守住了青磷精炼所。战后，两阵营之间的中间地带便被称作劳班缓冲地。,12066,22066
081624.tex,081124.tex,67,艾玛吉娜秘银废矿,新生篇,北萨纳兰,26,22,薄雾,060204.tex,18:00～4:59,张望,/lookout,064022.tex,在20年前左右被放弃的废矿。这里的秘银矿脉曾经非常丰富，是为艾玛吉娜矿山公司带来“秘银热”的重要舞台，可惜后来矿脉逐渐枯竭，最终被放弃了。现在，这里则变成了邪教集团“最后之民”的秘密基地。,12067,22067
081651.tex,081151.tex,68,剑峰,新生篇,库尔札斯中央高地,25,29,碧空,060201.tex,17:00～17:59,张望,/lookout,064022.tex,矗立于库尔札斯中央高地的高峰。据正教的圣典记载，战争女神哈罗妮挥剑刺入天空，从而将天界与地面彻底隔离。不过由于卫月的碎片刺入了山间，使得这把利剑的剑刃有些变形了。,12068,22068
081652.tex,081152.tex,69,阿德内尔占星台,新生篇,库尔札斯中央高地,25,29,薄雾,060204.tex,18:00～4:59,张望,/lookout,064022.tex,配备有全艾欧泽亚最大天体望远镜的占星台。在观测天体运动的同时也承担着预测龙族动向的工作。据说占星台的名字来源于伊修加德历史上最伟大的占星学家。,12069,22069
081653.tex,081153.tex,70,龙族遗骸,新生篇,库尔札斯中央高地,11,15,暴雪,060216.tex,8:00～11:59,张望,/lookout,064022.tex,被白云崖前哨的对龙弩炮打下的龙族的遗骸。在库尔札斯的严寒气候中结冰，基本没有腐烂。远远看去还以为是一只龙在雪中沉睡。,12070,22070
081654.tex,081154.tex,71,皇都伊修加德,新生篇,库尔札斯中央高地,12,17,晴朗,060202.tex,5:00～7:59,张望,/lookout,064022.tex,伊修加德是一座宗教城邦。为了防范龙族的袭击，城墙不但分为多个等级，上面还布有多重魔法屏障，同时成群的高耸尖塔上都设有对龙弩炮。因为伊修加德正教的教皇居住于此，所以此地也被称为皇都。,12071,22071
081655.tex,081155.tex,72,巨石丘,新生篇,库尔札斯中央高地,7,28,碧空,060201.tex,17:00～17:59,张望,/lookout,064022.tex,剑锋山麓的广阔山丘，过去有很多巨大的岩石点缀于此，因此得名“巨石丘”。灵灾之后，原本覆盖于卫月外壳上的暗物质附着在这片山丘上，形成了一种新的奇妙岩石。,12072,22072
081656.tex,081156.tex,73,战争神秘石,新生篇,库尔札斯中央高地,7,31,暴雪,060216.tex,18:00～4:59,张望,/lookout,064022.tex,显现出战争神哈罗妮的神印的神圣之石。对尊崇哈罗妮为主神的伊修加德正教来说，这块秘石所在的洞穴是重要的圣地。因此，他们在这里建造了秘石塔，严加看守。,12073,22073
081657.tex,081157.tex,74,披雪大冰壁,新生篇,库尔札斯中央高地,2,21,晴朗,060202.tex,8:00～11:59,张望,/lookout,064022.tex,第七灵灾引发的属性变动，使得库尔札斯地区以异常的速度变成了冰天雪地。仅仅5年的时间，奔流江和双子池的水便被冰结，形成了擎天的大冰壁。同时通往库尔札斯西部的陆路也被隔断了。,12074,22074
081658.tex,081158.tex,75,巨龙首营地,新生篇,库尔札斯中央高地,26,17,晴朗,060202.tex,12:00～16:59,张望,/lookout,064022.tex,守卫皇都伊修加德的据点。名门福尔唐家的骑兵团驻守于此，对龙族和异端者、还有来自东方的入侵者鸟人族保持着警戒。据点的名字来自于附近的一块酷似龙头的巨大岩石。,12075,22075
081659.tex,081159.tex,76,钢卫塔,新生篇,库尔札斯中央高地,28,10,碧空,060201.tex,5:00～7:59,张望,/lookout,064022.tex,对龙城塞，但现在已被破坏。这座塔原本和西方的石卫塔遥相呼应，共同构成了伊修加德的防卫双壁。但在黄龙斯瓦拉率领的龙族攻势下化作了一片废墟，现在只留下了一部分的外墙。,12076,22076
